Hostname,Rule ID,Severity,Result
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_backup_etc_group,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_backup_etc_gshadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_backup_etc_passwd,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_backup_etc_shadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_etc_group,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_etc_gshadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_etc_passwd,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_etc_security_opasswd,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_etc_security_opasswd_old,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_etc_shadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_etc_shells,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_backup_etc_group,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_backup_etc_gshadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_backup_etc_passwd,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_backup_etc_shadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_etc_group,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_etc_gshadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_etc_passwd,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_etc_security_opasswd,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_etc_security_opasswd_old,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_etc_shadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_etc_shells,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_var_log,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_var_log_auth,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_var_log_cloud_init,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_var_log_journal,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_var_log_lastlog,medium,pass
